职位,公司,地址,薪酬,标签
Java工程师,深圳云里物里科技股份有限公司,深圳-龙华新区,1-1.5万/月,"[[['五险一金'], ['绩效奖金'], ['餐饮补贴'], ['提供住宿'], ['年终奖金'], ['全勤奖']], ['深圳-龙华新区', '3-4年经验', '本科', '招1人', '09-03发布']]"
Java开发工程师（初中级）,南京阿贝斯信息科技有限公司,南京-建邺区,0.7-1.4万/月,"[[['五险一金'], ['交通补贴'], ['定期体检'], ['节日福利'], ['全勤奖'], ['员工旅游'], ['年终奖金']], ['南京-建邺区', '2年经验', '本科', '招2人', '09-03发布']]"
JAVA软件工程师,UR,广州-白云区,0.9-1.5万/月,"[[['五险一金'], ['补充公积金'], ['免费班车'], ['专业培训'], ['弹性工作'], ['周末双休']], ['广州-白云区', '3-4年经验', '大专', '招1人', '09-03发布']]"
Java中级开发工程师,深圳市武扬科技信息有限公司,深圳-南山区,1.5-1.8万/月,"[[['五险一金'], ['员工旅游'], ['年终奖金']], ['深圳-南山区', '2年经验', '大专', '招1人', '09-03发布']]"
Java高级开发工程师,江苏慧医一六零信息科技有限公司,南京,1.5-2万/月,"[[['五险一金'], ['通讯补贴'], ['绩效奖金'], ['年终奖金'], ['定期体检'], ['补充医疗保险']], ['南京', '5-7年经验', '本科', '招1人', '09-03发布']]"
高级JAVA研发工程师,成都易贷网金融信息服务有限公司,成都-锦江区,1-2万/月,"[[['五险一金'], ['员工旅游'], ['年终奖金'], ['专业培训']], ['成都-锦江区', '无工作经验', '本科', '招2人', '09-03发布']]"
JAVA中高级软件工程师,上海莱泽信息技术有限公司,上海-杨浦区,1.5-2万/月,"[[['五险一金'], ['员工旅游'], ['交通补贴'], ['餐饮补贴'], ['专业培训'], ['绩效奖金'], ['年终奖金'], ['弹性工作']], ['上海-杨浦区', '无工作经验', '大专', '招若干人', '09-03发布']]"
Java开发工程师（微服务方向）,中软信息系统工程有限公司,北京-昌平区,1-2万/月,"[[['补充医疗保险'], ['免费班车'], ['员工旅游'], ['交通补贴'], ['通讯补贴'], ['专业培训'], ['年终奖金'], ['定期体检'], ['七险一金']], ['北京-昌平区', '无工作经验', '招2人', '09-03发布']]"
JAVA软件开发工程师,上海上讯信息技术股份有限公司,西安,0.9-1.5万/月,"[[['做五休二'], ['周末双休'], ['弹性工作'], ['带薪年假'], ['五险一金'], ['绩效奖金'], ['专业培训']], ['西安', '2年经验', '本科', '招5人', '09-03发布']]"
Java高级工程师,武汉瑞莱保能源技术有限公司,武汉-东湖新技...,0.8-1万/月,"[[['五险一金'], ['补充医疗保险'], ['员工旅游'], ['绩效奖金'], ['年终奖金'], ['通讯补贴'], ['专业培训']], ['武汉-东湖新技术产业开发区', '3-4年经验', '本科', '招若干人', '09-03发布', '普通话熟练', '软件工程', '计算机工程']]"
