职位,公司,地址,薪酬,标签
中级Java开发工程师,上海正信方晟资信评估有限公司,上海,20-30万/年,"[[['五险一金'], ['定期体检'], ['员工旅游'], ['绩效奖金'], ['餐饮补贴'], ['交通补贴']], ['上海', '2年经验', '本科', '招若干人', '09-03发布', '英语良好']]"
Java开发工程师（初、中级）,广州致讯信息科技有限责任公司,广州-黄埔区,0.5-1.2万/月,"[[['五险一金'], ['免费班车'], ['绩效奖金'], ['年终奖金'], ['通讯补贴'], ['餐饮补贴'], ['定期体检']], ['广州-黄埔区', '3-4年经验', '大专', '招3人', '09-03发布']]"
Java高级开发工程师,上海擎云物联网股份有限公司,上海-闵行区,0.6-1万/月,"[[['五险一金'], ['绩效奖金'], ['股票期权'], ['专业培训']], ['上海-闵行区', '5-7年经验', '大专', '招若干人', '09-03发布']]"
JAVA开发工程师,天讯瑞达通信技术有限公司,广州,0.6-1万/月,"[[['五险一金'], ['绩效奖金'], ['年终奖金'], ['周末双休'], ['带薪年假'], ['弹性工作']], ['广州', '无工作经验', '招若干人', '09-03发布']]"
Java高级开发工程师(需求侧管理),南京新联软件有限责任公司,南京-江宁区,0.8-1万/月,"[[['五险一金']], ['南京-江宁区', '2年经验', '本科', '招5人', '09-03发布']]"
Java开发经理,上海大钱信息技术有限公司,上海,2-3万/月,"[[['五险一金'], ['补充医疗保险'], ['弹性工作'], ['年终奖金']], ['上海', '5-7年经验', '本科', '招1人', '09-03发布']]"
Java开发工程师,北京陆秦网络科技有限公司,北京-朝阳区,0.8-1.5万/月,"[[['五险一金'], ['补充公积金'], ['绩效奖金'], ['专业培训'], ['弹性工作']], ['北京-朝阳区', '3-4年经验', '本科', '招2人', '09-03发布']]"
Java开发工程师,北京颐东信达网络信息技术有限公司,北京-昌平区,0.5-2万/月,"[[['五险一金']], ['北京-昌平区', '3-4年经验', '本科', '招若干人', '09-03发布']]"
JAVA高级软件工程师,南京嘉量信息科技有限公司,南京-秦淮区,1-1.5万/月,"[[['周末双休'], ['加班补贴'], ['节日福利'], ['五险一金'], ['绩效奖金']], ['南京-秦淮区', '3-4年经验', '本科', '招1人', '09-03发布', '英语熟练']]"
JAVA工程师,江西创捷物联网科技有限公司,南昌,4-6千/月,"[[['交通补贴'], ['餐饮补贴'], ['通讯补贴'], ['养老保险'], ['医疗保险'], ['工伤保险'], ['节日福利'], ['带薪年假'], ['不定期活动']], ['南昌', '1年经验', '大专', '招2人', '09-03发布', '软件工程', '计算机网络']]"
Java高级开发工程师,上海八尚企业管理有限公司,上海-徐汇区,1-2.5万/月,"[[['五险一金'], ['绩效奖金'], ['带薪年假']], ['上海-徐汇区', '3-4年经验', '大专', '招1人', '09-03发布', '计算机科学与技术', '软件工程']]"
Java开发工程师,北京娜迦信息科技发展有限公司,北京-海淀区,1.5-2万/月,"[[['五险一金'], ['员工旅游'], ['年终奖金'], ['弹性工作'], ['定期体检'], ['带薪年假']], ['北京-海淀区', '3-4年经验', '本科', '招若干人', '09-03发布']]"
JAVA开发工程师,杭州臻合网络科技有限公司,杭州-西湖区,0.8-1.5万/月,"[[['做五休二'], ['周末双休'], ['弹性工作'], ['五险一金'], ['节日福利'], ['绩效奖金'], ['带薪年假']], ['杭州-西湖区', '1年经验', '本科', '招1人', '09-03发布']]"
Java开发工程师（***）,杭州浙大灵通科技有限公司,杭州-拱墅区,200元/天,"[[['五险一金'], ['绩效奖金'], ['年终奖金'], ['定期体检'], ['员工旅游'], ['专业培训']], ['杭州-拱墅区', '无工作经验', '招若干人', '09-03发布']]"
JAVA软件开发,中软国际科技服务有限公司,上海-浦东新区,7-9千/月,"[[['五险一金'], ['绩效奖金'], ['年终奖金'], ['弹性工作'], ['定期体检'], ['员工旅游']], ['上海-浦东新区', '2年经验', '本科', '招若干人', '09-03发布', '普通话熟练']]"
Java维护工程师（大江东驻场）,杭州瑞成信息技术有限公司,杭州-萧山区,4.5-6千/月,"[[['五险一金'], ['交通补贴'], ['餐饮补贴'], ['员工旅游'], ['年终奖金'], ['做五休二'], ['法定假期'], ['节日福利'], ['住房补贴'], ['带薪年假']], ['杭州-萧山区', '2年经验', '大专', '招1人', '09-03发布']]"
Java开发工程师,郑州德贝电子科技有限公司,郑州-金水区,4.5-6千/月,"[[], ['郑州-金水区', '1年经验', '本科', '招2人', '09-03发布', '计算机科学与技术', '计算机应用']]"
Java开发工程师,杭州炼数科技有限公司,杭州-江干区,1-1.5万/月,"[[['五险一金'], ['绩效奖金'], ['年终奖金'], ['股票期权'], ['弹性工作']], ['杭州-江干区', '无工作经验', '招3人', '09-03发布']]"
0042 JAVA工程师,上海梅斯医药科技有限公司—生物谷...,上海-徐汇区,1.5-2万/月,"[[['五险一金'], ['周末双休'], ['带薪年假'], ['节日福利'], ['绩效奖金']], ['上海-徐汇区', '3-4年经验', '本科', '招2人', '09-03发布', '计算机科学与技术', '软件工程']]"
Java初级开发工程师,南京开江科技有限公司,南京-鼓楼区,4-6千/月,"[[['做五休二'], ['带薪年假'], ['五险一金'], ['专业培训']], ['南京-鼓楼区', '1年经验', '本科', '招2人', '09-03发布', '计算机科学与技术', '软件工程']]"
java,上海华腾软件系统有限公司,宁波-北仑区,1-1.5万/月,"[[], ['宁波-北仑区', '2年经验', '本科', '招1人', '09-03发布']]"
Java后端工程师,南京荣飞科技股份有限公司,南京-鼓楼区,1-2万/月,"[[['五险一金'], ['补充医疗保险'], ['员工旅游'], ['交通补贴'], ['餐饮补贴'], ['绩效奖金'], ['周末双休']], ['南京-鼓楼区', '3-4年经验', '本科', '招4人', '09-03发布', '计算机科学与技术']]"
Java开发工程师,四川弘智远大科技有限公司,成都,0.8-1.3万/月,"[[['五险一金'], ['专业培训'], ['弹性工作'], ['定期体检']], ['成都', '无工作经验', '招2人', '09-03发布']]"
中高java工程师,深圳萨摩耶互联网金融服务有限公司,上海-浦东新区,1.5-3万/月,"[[], ['上海-浦东新区', '无工作经验', '本科', '招1人', '09-03发布']]"
Java开发工程师,房博士网,广州-天河区,1.2-1.5万/月,"[[['五险一金'], ['员工旅游'], ['绩效奖金'], ['定期体检'], ['年终奖金'], ['购房优惠1%']], ['广州-天河区', '3-4年经验', '本科', '招3人', '09-03发布']]"
急聘预算转Java开发  高薪,西安市和诚建筑商务有限公司,西安-雁塔区,6-8千/月,"[[['五险一金'], ['员工旅游'], ['专业培训'], ['年终奖金'], ['绩效奖金']], ['西安-雁塔区', '无工作经验', '高中', '招若干人', '09-03发布']]"
Java开发工程师,广州神州通保计算机技术有限公司,广州,0.7-1万/月,"[[['五险一金'], ['弹性工作'], ['餐饮补贴'], ['员工旅游'], ['交通补贴'], ['免费下午茶'], ['生日派对'], ['周末双休'], ['年终奖金']], ['广州', '3-4年经验', '大专', '招1人', '09-03发布']]"
中级JAVA工程师,北京亿美软通科技有限公司,北京,0.8-1.4万/月,"[[['五险一金'], ['餐饮补贴'], ['补充医疗保险'], ['定期体检'], ['绩效奖金']], ['北京', '无工作经验', '本科', '招若干人', '09-03发布']]"
Java开发工程师-2019,方正国际软件（北京）有限公司,异地招聘,0.8-1万/月,"[[['五险一金'], ['补充医疗保险'], ['交通补贴'], ['餐饮补贴'], ['通讯补贴'], ['绩效奖金'], ['年终奖金'], ['定期体检']], ['北京', '无工作经验', '本科', '招21人', '09-03发布']]"
Java高级开发工程师,文华投资集团有限公司,广州-天河区,0.8-1.6万/月,"[[], ['广州-天河区', '3-4年经验', '本科', '招若干人', '09-03发布', '普通话良好', '软件工程']]"
java工程师,杭州天铂红外光电技术有限公司,杭州-余杭区,10-15万/年,"[[['双休法定假日'], ['节日福利'], ['五险一金']], ['杭州-余杭区', '2年经验', '本科', '招1人', '09-03发布']]"
Java初级开发工程师,广州市天工远科计算机科技有限公司,广州-天河区,6-8万/年,"[[['五险一金'], ['绩效奖金'], ['员工旅游'], ['交通补贴'], ['通讯补贴'], ['餐饮补贴'], ['年终奖金']], ['广州-天河区', '2年经验', '大专', '招5人', '09-03发布', '英语良好', '计算机科学与技术']]"
Java高级开发工程师,武汉华中思能科技有限公司,武汉,0.8-1.2万/月,"[[['五险一金'], ['年终奖金'], ['交通补贴'], ['通讯补贴'], ['绩效奖金'], ['定期体检'], ['每年多次调薪']], ['武汉', '2年经验', '本科', '招1人', '09-03发布']]"
Java开发工程师（中高级）,中驰车福电子商务有限公司,北京-海淀区,1.3-1.8万/月,"[[['五险一金'], ['员工旅游'], ['专业培训'], ['绩效奖金'], ['股票期权'], ['定期体检']], ['北京-海淀区', '无工作经验', '招3人', '09-03发布']]"
java软件开发人员,四川三维系统工程有限责任公司,成都-青羊区,5-8千/月,"[[], ['成都-青羊区', '1年经验', '本科', '招2人', '09-03发布', '英语一般', '计算机科学与技术']]"
中高级JAVA开发工程师,四川业亿辰科技有限公司,成都-高新区,0.7-1.5万/月,"[[['五险一金'], ['股票期权'], ['年终奖金'], ['员工旅游'], ['专业培训'], ['绩效奖金']], ['成都-高新区', '3-4年经验', '大专', '招2人', '09-03发布']]"
JAVA开发工程师,兴业数字金融服务（上海）股份有限...,上海,1.5-2万/月,"[[], ['上海', '1年经验', '本科', '招若干人', '09-03发布']]"
JAVA软件工程师,亿嘉和科技股份有限公司,南京,,"[[], ['南京', '无工作经验', '本科', '招5人', '09-03发布']]"
Java架构师,上海翰凌信息技术有限公司,上海-徐汇区,30-40万/年,"[[['五险一金'], ['员工旅游'], ['定期体检'], ['绩效奖金'], ['年终奖金']], ['上海-徐汇区', '5-7年经验', '本科', '招1人', '09-03发布']]"
JAVA软件开发工程师（五险一金）,辽宁国诺科技有限公司,沈阳-皇姑区,0.8-1万/月,"[[['五险一金'], ['员工旅游'], ['年终奖金'], ['绩效奖金'], ['专业培训']], ['沈阳-皇姑区', '3-4年经验', '招5人', '09-03发布']]"
高级java开发工程师,深圳市普天宜通技术股份有限公司,深圳-南山区,25-35万/年,"[[['五险一金'], ['员工旅游'], ['专业培训'], ['绩效奖金'], ['年终奖金'], ['弹性工作'], ['定期体检'], ['周末双休']], ['深圳-南山区', '5-7年经验', '本科', '招若干人', '09-03发布']]"
JAVA开发工程师（高级）,湖南龙熹科技有限公司,长沙-雨花区,1-1.5万/月,"[[], ['长沙-雨花区', '3-4年经验', '大专', '招3人', '09-03发布', '计算机科学与技术', '软件工程']]"
Java 高级工程师,广州润滔信息科技有限公司,广州-海珠区,1.6-2万/月,"[[['五险一金'], ['弹性工作'], ['年底双薪'], ['周末双休']], ['广州-海珠区', '5-7年经验', '大专', '招若干人', '09-03发布', '粤语一般', '英语一般']]"
Java高级开发工程师,广州源典科技有限公司,广州,1-1.8万/月,"[[['五险一金'], ['周末双休'], ['定期体检'], ['弹性工作'], ['绩效奖金'], ['节日补贴'], ['每年多次调薪'], ['带薪年假'], ['股票期权']], ['广州', '3-4年经验', '本科', '招2人', '09-03发布']]"
JAVA开发工程师（中级）,广东黑网科技股份有限公司,广州-天河区,1-1.3万/月,"[[['五险一金'], ['带薪年假'], ['节日福利'], ['加班补贴'], ['全勤奖'], ['专业培训'], ['周末双休']], ['广州-天河区', '3-4年经验', '大专', '招1人', '09-03发布']]"
Java讲师,极客信息技术有限公司,镇江,0.8-1万/月,"[[['五险一金'], ['员工旅游'], ['年终奖金'], ['绩效奖金'], ['定期体检']], ['镇江', '1年经验', '本科', '招2人', '09-03发布']]"
Java开发工程师,广州博日信息科技有限公司,广州-天河区,1-2万/月,"[[], ['广州-天河区', '3-4年经验', '大专', '招3人', '09-03发布', '计算机科学与技术', '计算机科学']]"
JAVA高级软件工程师,湖南视拓信息技术股份有限公司,长沙,1-1.5万/月,"[[], ['长沙', '5-7年经验', '本科', '招2人', '09-03发布']]"
java高级工程师,深圳义合信达科技有限公司,深圳-宝安区,1-1.8万/月,"[[['五险一金'], ['补充医疗保险'], ['员工旅游'], ['年终奖金'], ['绩效奖金'], ['专业培训'], ['定期体检'], ['餐饮补贴'], ['弹性工作']], ['深圳-宝安区', '3-4年经验', '大专', '招3人', '09-03发布']]"
Java程序开发工程师,上海东冠纸业有限公司,上海,1-1.6万/月,"[[['五险一金'], ['免费班车'], ['交通补贴'], ['绩效奖金'], ['年终奖金']], ['上海', '无工作经验', '招2人', '09-03发布']]"
JAVA软件开发实习生/程序员,沈阳倾城科技有限公司,沈阳,3-4.5千/月,"[[['周末双休'], ['五险一金'], ['带薪年假'], ['绩效奖金'], ['节日福利']], ['沈阳', '无工作经验', '大专', '招3人', '09-03发布']]"
高级Java开发工程师,上海聚数信息科技有限公司,上海-普陀区,0.7-1.2万/月,"[[['专业培训'], ['五险一金'], ['绩效奖金'], ['年终奖金'], ['股票期权'], ['弹性工作'], ['通讯补贴'], ['定期体检'], ['餐饮补贴']], ['上海-普陀区', '1年经验', '本科', '招3人', '09-03发布']]"
资深java工程师（新到店）,美团点评,北京-朝阳区,2.5-3万/月,"[[], ['北京-朝阳区', '5-7年经验', '招若干人', '09-03发布']]"
中级Java工程师（跨境支付+双休+五险一金）,广州市汇聚支付电子科技有限公司,广州-天河区,1.2-1.8万/月,"[[['五险一金'], ['员工旅游'], ['通讯补贴'], ['年终奖金'], ['定期体检'], ['高薪高提成'], ['周末双休'], ['晋升平台大'], ['核心事业部']], ['广州-天河区', '3-4年经验', '本科', '招3人', '09-03发布']]"
JAVA开发工程师（上海唐镇）,深圳市赢时胜信息技术股份有限公司...,上海,0.7-1.2万/月,"[[['五险一金'], ['绩效奖金'], ['员工旅游'], ['年终奖金']], ['上海', '1年经验', '本科', '招2人', '09-03发布']]"
Java高级开发工程师--研发中心,浙江盘石信息技术股份有限公司,杭州,1.5-3万/月,"[[], ['杭州', '5-7年经验', '本科', '招3人', '09-03发布']]"
Java开发实习生,成都酷云科技有限公司,成都-高新区,2-3千/月,"[[['专业培训'], ['周末双休'], ['节日福利']], ['成都-高新区', '无工作经验', '大专', '招若干人', '09-03发布', '计算机应用', '计算机科学与技术']]"
JAVA研发工程师,广州长川科技有限公司,广州-黄埔区,1-1.8万/月,"[[['五险一金'], ['员工旅游'], ['餐饮补贴'], ['专业培训'], ['绩效奖金'], ['年终奖金'], ['定期体检'], ['交通补贴'], ['通讯补贴']], ['广州-黄埔区', '3-4年经验', '本科', '招1人', '09-03发布', '普通话', '计算机科学与技术']]"
Java开发工程师,上海期货信息技术有限公司,上海-浦东新区,,"[[], ['上海-浦东新区', '3-4年经验', '本科', '招1人', '09-03发布']]"
Java高级开发工程师/PM,武汉亿房信息网络股份有限公司,武汉,1.2-1.5万/月,"[[['五险一金'], ['专业培训'], ['项目奖金'], ['周末双休']], ['武汉', '3-4年经验', '本科', '招1人', '09-03发布', '计算机科学与技术', '软件工程']]"
Java资深开发工程师,上海收付宝科技有限公司,上海-长宁区,1-1.7万/月,"[[], ['上海-长宁区', '3-4年经验', '本科', '招1人', '09-03发布', '英语熟练', '计算机网络', '信息安全']]"
Java开发工程师,上海乾视通信技术有限公司,上海-闵行区,1-2万/月,"[[['五险一金'], ['员工旅游'], ['餐饮补贴'], ['专业培训'], ['绩效奖金'], ['年终奖金'], ['股票期权']], ['上海-闵行区', '3-4年经验', '本科', '招1人', '09-03发布']]"
Java开发工程师—移互创新部,中数通信息有限公司,长沙-芙蓉区,0.9-1.3万/月,"[[['五险一金'], ['补充医疗保险'], ['餐饮补贴'], ['通讯补贴'], ['定期体检'], ['年终奖金']], ['长沙-芙蓉区', '3-4年经验', '本科', '招3人', '09-03发布']]"
Java高级开发工程师（园区）,苏州市伏泰信息科技股份有限公司,苏州,1.5-2万/月,"[[['五险一金'], ['年终奖金'], ['绩效奖金']], ['苏州', '5-7年经验', '本科', '招若干人', '09-03发布']]"
Java高级开发工程师,上海黄豆网络科技有限公司,上海-长宁区,2-3万/月,"[[['五险一金'], ['弹性工作'], ['定期体检'], ['餐饮补贴'], ['员工旅游'], ['年终奖金'], ['绩效奖金'], ['出国机会'], ['股票期权']], ['上海-长宁区', '3-4年经验', '本科', '招2人', '09-03发布']]"
高級JAVA工程師,GQY视讯股份有限公司,上海-黄浦区,1-1.5万/月,"[[['五险一金'], ['免费班车'], ['员工旅游'], ['餐饮补贴'], ['通讯补贴'], ['绩效奖金'], ['年终奖金'], ['定期体检']], ['上海-黄浦区', '无工作经验', '本科', '招若干人', '09-03发布']]"
java工程师（杨浦）,联印信息科技（上海）有限公司,上海-杨浦区,1-3万/月,"[[['五险一金'], ['免费班车']], ['上海-杨浦区', '3-4年经验', '大专', '招若干人', '09-03发布']]"
Java开发工程师,北京中星微电子有限公司,北京-海淀区,1-1.8万/月,"[[['补充医疗保险'], ['餐饮补贴'], ['通讯补贴'], ['定期体检'], ['绩效奖金'], ['不定期聚餐'], ['全额五险一金'], ['5天8小时']], ['北京-海淀区', '5-7年经验', '本科', '招2人', '09-03发布', '计算机科学与技术']]"
资深Java开发工程师,Rebatesme海淘返利网,上海-普陀区,20-30万/年,"[[['五险一金'], ['绩效奖金'], ['年终奖金'], ['弹性工作']], ['上海-普陀区', '无工作经验', '招若干人', '09-03发布']]"
Java开发工程师（同飞同翔***）,无锡市同步电子科技有限公司,无锡-滨湖区,3-5千/月,"[[], ['无锡-滨湖区', '3-4年经验', '本科', '招1人', '09-03发布']]"
Java高级开发工程师,广东联汛教育科技有限公司,广州,1-1.5万/月,"[[['五险一金'], ['弹性工作'], ['定期体检'], ['专业培训'], ['绩效奖金'], ['年终奖金'], ['员工旅游']], ['广州', '无工作经验', '招若干人', '09-03发布']]"
Java高级开发工程师,北京高阳金信信息技术有限公司,上海,1.5-2万/月,"[[], ['上海', '5-7年经验', '本科', '招若干人', '09-03发布']]"
Java工程师,江苏歌斐教育科技有限公司,苏州-工业园区,1.5-2万/月,"[[], ['苏州-工业园区', '3-4年经验', '大专', '招3人', '09-03发布']]"
Java高级软件工程师,智标科技有限公司,广州-南沙区,1-1.5万/月,"[[['五险一金'], ['朝九晚六'], ['周末双休'], ['各类补贴'], ['年度体检']], ['广州-南沙区', '5-7年经验', '本科', '招1人', '09-03发布']]"
JAVA开发工程师,上海久誉软件系统有限公司,上海,1-1.5万/月,"[[['五险一金'], ['绩效奖金'], ['补充医疗保险'], ['定期体检'], ['员工旅游'], ['餐饮补贴'], ['年终奖金']], ['上海', '3-4年经验', '本科', '招3人', '09-03发布', '普通话良好', '计算机科学与技术', '计算机应用']]"
JAVA软件开发工程师,广州天源信息科技股份有限公司,上海,0.6-1.8万/月,"[[['五险一金'], ['定期体检']], ['上海', '5-7年经验', '大专', '招1人', '09-03发布']]"
java工程师,上海巴士拓华科技发展有限公司,上海-浦东新区,0.8-1.8万/月,"[[['专业培训'], ['员工旅游']], ['上海-浦东新区', '3-4年经验', '大专', '招1人', '09-03发布', '电子信息科学与技术']]"
Java开发工程师,上海泰优汇实业(集团)有限公司,上海-徐汇区,1.8-2.1万/月,"[[['周末双休'], ['五险一金'], ['餐饮补贴'], ['年终奖金'], ['绩效奖金'], ['定期体检']], ['上海-徐汇区', '3-4年经验', '大专', '招1人', '09-03发布']]"
JAVA中级工程师,南京欣华软件技术有限公司,南京,0.6-1.2万/月,"[[['五险一金'], ['绩效奖金'], ['股票期权'], ['弹性工作']], ['南京', '3-4年经验', '大专', '招4人', '09-03发布']]"
开发工程师（JAVA/C）,东软软件（武汉）,武汉-江夏区,4.5-6千/月,"[[], ['武汉-江夏区', '无工作经验', '大专', '招10人', '09-03发布']]"
java软件工程师,郑州三友软件科技有限公司,成都,4.5-6千/月,"[[['五险一金'], ['年终奖金'], ['专业培训'], ['补充医疗保险'], ['加班工资']], ['成都', '1年经验', '本科', '招5人', '09-03发布', '普通话']]"
Java开发经理,山东博正中联信息科技股份有限公司,济南-高新区,1-1.5万/月,"[[['五险一金'], ['年终奖金'], ['定期体检'], ['餐补'], ['通讯补贴'], ['带薪年假'], ['节假日福利']], ['济南-高新区', '无工作经验', '招2人', '09-03发布']]"
JAVA软件工程师,上海警辉电子科技有限公司,上海-闵行区,0.5-1万/月,"[[['五险一金'], ['通讯补贴'], ['餐饮补贴'], ['免费班车'], ['年终奖金']], ['上海-闵行区', '3-4年经验', '本科', '招2人', '09-03发布']]"
Java开发工程师,牧中（上海）物联网科技有限公司,上海-静安区,1-1.5万/月,"[[['五险一金'], ['员工旅游'], ['交通补贴'], ['餐饮补贴'], ['通讯补贴'], ['年终奖金']], ['上海-静安区', '3-4年经验', '本科', '招10人', '09-03发布']]"
java开发工程师,深圳市闻诺科技有限公司,深圳-宝安区,1-2万/月,"[[], ['深圳-宝安区', '3-4年经验', '本科', '招1人', '09-03发布']]"
Java开发实习生,杭州仁卓软件有限公司,杭州-滨江区,4-6千/月,"[[['定期体检'], ['绩效奖金'], ['员工旅游'], ['补充公积金'], ['专业培训'], ['五险一金']], ['杭州-滨江区', '无工作经验', '大专', '招若干人', '09-03发布']]"
Java高级开发工程师,江苏达海智能系统股份有限公司,上海-杨浦区,1.5-2.5万/月,"[[['五险一金'], ['专业培训'], ['绩效奖金'], ['定期体检']], ['上海-杨浦区', '2年经验', '本科', '招若干人', '09-03发布']]"
JAVA开发工程师,北京文创思宇科技发展有限公司,北京-西城区,0.8-1.5万/月,"[[], ['北京-西城区', '3-4年经验', '本科', '招3人', '09-03发布', '英语精通']]"
Java高级开发工程师,上海欣方信息科技有限公司,上海,1-2.5万/月,"[[['五险一金'], ['绩效奖金'], ['补充医疗保险'], ['定期体检'], ['弹性工作'], ['员工旅游']], ['上海', '无工作经验', '招2人', '09-03发布']]"
Java资深开发工程师,雷技信息科技（上海）有限公司南京...,南京-建邺区,1.5-2万/月,"[[['五险一金'], ['弹性工作'], ['定期体检'], ['专业培训'], ['出国机会'], ['绩效奖金'], ['员工旅游'], ['年终奖金']], ['南京-建邺区', '5-7年经验', '本科', '招1人', '09-03发布']]"
高级开发工程师（Java）（创新产品部）,北京卓信智恒数据科技股份有限公司,长沙-雨花区,0.9-1.2万/月,"[[['五险一金'], ['补充医疗保险'], ['通讯补贴'], ['绩效奖金'], ['年终奖金'], ['定期体检'], ['节日福利']], ['长沙-雨花区', '无工作经验', '招2人', '09-03发布']]"
Java开发工程师/Java软件工程师,广东放假国际旅游股份有限公司,深圳-福田区,1-1.5万/月,"[[], ['深圳-福田区', '2年经验', '大专', '招2人', '09-03发布']]"
JAVA软件开发工程师,南京铁行网络科技有限公司,南京-秦淮区,0.8-1.5万/月,"[[['五险一金'], ['绩效奖金'], ['员工旅游'], ['年终奖金'], ['专业培训'], ['餐饮补贴'], ['交通补贴']], ['南京-秦淮区', '2年经验', '招4人', '09-03发布']]"
Java开发工程师,北京裕翔创力科技有限责任公司,西安,1-1.5万/月,"[[['五险一金'], ['员工旅游'], ['出国机会'], ['年终奖金'], ['绩效奖金'], ['专业培训']], ['西安', '3-4年经验', '大专', '招10人', '09-03发布']]"
Java开发工程师,深圳云网联合手机通讯有限公司,深圳-龙华新区,1.5-3万/月,"[[['五险一金'], ['餐饮补贴'], ['弹性工作'], ['定期体检'], ['绩效奖金'], ['年终奖金'], ['员工旅游']], ['深圳-龙华新区', '3-4年经验', '本科', '招3人', '09-03发布', '计算机工程', '软件工程']]"
Java开发工程师,江苏江波信息科技股份有限公司,南京,4.5-8千/月,"[[['餐饮补贴'], ['年终奖金'], ['五险一金']], ['南京', '3-4年经验', '本科', '招1人', '09-03发布']]"
资深JAVA工程师,成都天普企业管理咨询有限公司,成都-高新区,1.8-2.5万/月,"[[], ['成都-高新区', '无工作经验', '本科', '招若干人', '09-03发布']]"
JAVA高级架构师,慧影医疗科技（北京）有限公司,北京-海淀区,3-5万/月,"[[['五险一金'], ['专业培训'], ['出国机会'], ['年终奖金'], ['绩效奖金'], ['弹性工作']], ['北京-海淀区', '5-7年经验', '本科', '招1人', '09-03发布']]"
JAVA高级软件工程师,异联信息技术（上海）有限公司,上海-静安区,6-8千/月,"[[['五险一金'], ['定期体检'], ['员工旅游'], ['专业培训'], ['年终奖金']], ['上海-静安区', '2年经验', '大专', '招若干人', '09-03发布', '英语良好', '计算机科学与技术', '软件工程']]"
JAVA 程序员（中级/高级)-CAIDAO才到,上海云武华科技有限公司,上海-徐汇区,1.5-2.5万/月,"[[['五险一金'], ['补充医疗保险'], ['股票期权'], ['员工旅游'], ['年终奖金'], ['弹性工作'], ['电脑补贴']], ['上海-徐汇区', '3-4年经验', '大专', '招2人', '09-03发布']]"
Java开发工程师,苏州麦迪斯顿医疗科技股份有限公司,苏州,0.8-1万/月,"[[['做五休二'], ['周末双休'], ['五险一金'], ['免费班车'], ['绩效奖金'], ['餐饮补贴']], ['苏州', '3-4年经验', '本科', '招5人', '09-03发布']]"
Java开发工程师,重庆数字城市科技有限公司,重庆-渝北区,0.5-1.2万/月,"[[['五险一金'], ['绩效奖金'], ['定期体检'], ['餐饮补贴'], ['专业培训'], ['年底双薪'], ['节日福利'], ['高温补贴'], ['带薪年假']], ['重庆-渝北区', '无工作经验', '招3人', '09-03发布']]"
java开发工程师(J11263),上海易果电子商务有限公司,上海-长宁区,1.2-2.5万/月,"[[['五险一金'], ['定期体检'], ['专业培训'], ['员工旅游'], ['年终奖金']], ['上海-长宁区', '5-7年经验', '本科', '招2人', '09-03发布']]"
Java高级开发工程师,广东海启星海洋科技有限公司,广州-番禺区,13-40万/年,"[[['五险一金'], ['交通补贴'], ['餐饮补贴'], ['通讯补贴'], ['专业培训'], ['绩效奖金'], ['定期体检']], ['广州-番禺区', '3-4年经验', '本科', '招1人', '09-03发布']]"
Java中级工程师,伟仕佳杰控股有限公司,深圳-南山区,1-1.5万/月,"[[['五险一金'], ['定期体检'], ['年终奖金'], ['员工旅游']], ['深圳-南山区', '3-4年经验', '本科', '招1人', '09-03发布']]"
Java服务器端开发工程师,深圳市通程软件开发有限公司,深圳-龙华新区,1-1.5万/月,"[[['五险一金'], ['员工旅游'], ['年终奖金'], ['节日福利'], ['住房补贴']], ['深圳-龙华新区', '3-4年经验', '大专', '招2人', '09-03发布']]"
高级java开发工程师,苏州神海港航数据服务有限公司,苏州-工业园区,1-1.8万/月,"[[], ['苏州-工业园区', '5-7年经验', '本科', '招2人', '09-03发布']]"
Java开发工程师,大连晶和信科技有限公司,大连-高新园区,4.5-6千/月,"[[], ['大连-高新园区', '2年经验', '大专', '招若干人', '09-03发布']]"
JAVA开发工程师,鹏讯科技（大连）有限公司,大连-高新园区,0.8-1.2万/月,"[[], ['大连-高新园区', '2年经验', '招3人', '09-03发布']]"
Java工程师（财务系统）,携程旅行网IT技术区,上海-长宁区,20-30万/年,"[[['弹性工作'], ['五险一金'], ['餐饮补贴'], ['绩效奖金']], ['上海-长宁区', '无工作经验', '招若干人', '09-03发布']]"
Java高级开发工程师,武汉市有余乐科技有限公司,武汉-洪山区,0.8-1.5万/月,"[[['带薪年假'], ['五险一金'], ['节日福利'], ['绩效奖金'], ['年终奖金'], ['弹性工作'], ['员工旅游'], ['生日惊喜']], ['武汉-洪山区', '3-4年经验', '大专', '招3人', '09-03发布']]"
Java开发工程师,深圳森香科技有限公司,深圳-南山区,1.5-3万/月,"[[['五险一金'], ['员工旅游'], ['定期体检'], ['节日福利'], ['年底双薪'], ['餐饮补贴']], ['深圳-南山区', '5-7年经验', '本科', '招3人', '09-03发布']]"
高级Java开发工程师,深圳传音控股股份有限公司,深圳-南山区,1.5-2.5万/月,"[[], ['深圳-南山区', '无工作经验', '大专', '招1人', '09-03发布']]"
java工程师,东莞市政邦网络科技有限公司,东莞-南城区,1.2-2.5万/月,"[[['五险一金'], ['补充医疗保险'], ['补充公积金'], ['员工旅游'], ['餐饮补贴'], ['通讯补贴'], ['专业培训'], ['绩效奖金'], ['年终奖金'], ['弹性工作']], ['东莞-南城区', '3-4年经验', '本科', '招2人', '09-03发布', '英语熟练']]"
